SSDSE-A-2022,prefecture,municipality,A1101,A110101,A110102,A1102,A110201,A110202,A1301,A130101,A130102,A1302,A130201,A130202,A1303,A130301,A130302,A1419,A141901,A141902,A1700,A4101,A4200,A5101,A5102,A7101,A710101,A710201,A810102,A810105,A811102,A8201,A8301,A9101,A9201,B1101,B1103,C2108,C210832,C210833,C210835,C210836,C210837,C210838,C210839,C210840,C210841,C210844,C210845,C210846,C210847,C210848,C210849,C210850,C210851,C210852,C2208,C220832,C220833,C220835,C220836,C220837,C220838,C220839,C220840,C220841,C220844,C220845,C220846,C220847,C220848,C220849,C220850,C220851,C220852,C310201,C310202,D2203,D2211,D3201,D320101,D3203,D320303,D320308,D320310,D320311,E1101,E1501,E2101,E2401,E2501,E3101,E3401,E3501,E3901,E3904,E3905,E3906,E4101,E4501,F1102,F110201,F110202,F1107,F110701,F110702,F1108,F110801,F110802,F2201,F2211,F2221,G1201,G1401,H5507,H550701,H6130,H6131,H6132,I510120,I5102,I5103,I6100,I6200,I6300,J250302
R16204,ïxéRåß,ãõí√és,40535,19729,20806,39869,19453,20416,3923,1982,1941,21193,11115,10078,13906,5829,8077,7497,2827,4670,384,255,565,906,1070,15800,15750,38913,8355,4814,4293,1969,1964,150,43,20061,7683,2421,10,3,2,291,211,2,17,28,643,37,93,71,334,258,76,164,19,162,20647,327,71,7,1959,4444,221,59,499,3846,489,253,451,1993,1451,290,2802,325,1160,692,318,91.3,12.9,18427550,6613102,17357860,5805288,1587161,1918006,54913,1,19,5,126,1779,2,74,999,0,0,0,0,4,1351,19553,10628,8925,628,385,243,12897,4861,8036,737,7512,10836,14,1,41814,2284,519,290,5,4,31,21,88,30,77,16
R16205,ïxéRåß,ïXå©és,43950,20883,23067,43525,20717,22808,4022,2055,1967,22499,11504,10995,17391,7309,10082,9139,3353,5786,424,183,700,543,874,15759,15726,42947,8451,3548,4994,2403,2215,127,58,23054,9576,2195,16,8,0,241,247,1,6,31,590,22,44,38,269,210,77,146,47,202,16161,288,183,0,1140,4405,12,32,408,3075,223,194,113,1604,691,215,2524,440,614,1095,1024,88.9,11.2,24159293,5479989,23142263,6687792,2542433,2619985,296086,1,177,9,154,1713,4,90,952,1,24,81,63,1,708,21979,11716,10263,878,608,270,15752,5850,9902,891,7202,13220,23,1,47197,3535,499,198,6,3,32,14,76,19,64,14
R16206,ïxéRåß,ääêÏés,32349,15750,16599,31902,15533,16369,4047,2128,1919,18432,9489,8943,9744,4048,5696,5042,1848,3194,387,200,367,893,901,12115,12092,31756,7171,3027,3120,1448,1254,132,51,5462,4761,1253,19,1,1,140,176,1,5,24,337,23,35,37,97,120,50,93,6,88,14410,244,3,2,823,6945,11,18,434,2069,215,81,236,668,375,269,1460,84,473,586,187,85.7,7.6,13754125,5263498,12806109,4463706,1678875,1072025,2339,1,29,7,123,1609,2,65,866,0,0,0,0,1,596,17329,9400,7929,479,292,187,9436,3359,6077,520,6844,9522,11,2,33263,1129,294,75,4,2,21,9,49,13,84,14
R16207,ïxéRåß,çïïîés,39638,19514,20124,39171,19293,19878,4645,2434,2211,21761,11343,10418,12517,5311,7206,6602,2499,4103,315,246,484,1004,1114,15238,15203,38936,8579,4199,4094,1914,1622,139,53,42631,21984,1659,18,1,2,196,193,7,6,52,438,26,31,40,209,151,35,117,15,122,21759,302,23,7,1808,9913,109,32,945,2702,248,192,161,1785,472,147,1702,292,919,759,328,88.6,11.5,21004135,8137226,20119597,5519506,2994533,2634327,36039,3,61,9,159,2048,2,73,1040,0,0,0,0,1,544,20484,11294,9190,671,451,220,12549,4620,7929,692,8827,10727,17,2,41257,915,376,147,4,4,26,16,128,22,93,14
R16208,ïxéRåß,ìvîgés,48154,23419,24735,47060,22869,24191,5911,3015,2896,27087,13793,13294,14593,6270,8323,7501,2802,4699,709,280,516,1143,1226,17147,17102,46947,9032,4514,3892,1802,1510,153,49,12703,9246,2542,57,1,1,308,297,4,17,54,636,43,84,99,276,224,66,167,22,186,22580,828,1,1,2029,5428,108,192,953,4361,441,364,473,2266,1011,242,2108,685,1089,1214,352,86.8,12.2,22111284,7097461,20292237,6308451,1656414,2681950,27578,3,71,8,173,2489,4,108,1420,0,0,0,0,2,1024,25464,13711,11753,824,505,319,14148,5189,8959,1105,8818,15365,22,2,48244,2515,537,229,10,5,36,18,151,33,93,14
R16209,ïxéRåß,è¨ñÓïîés,28983,13991,14992,28413,13756,14657,2940,1514,1426,15086,7667,7419,10817,4724,6093,5705,2187,3518,514,162,407,503,590,9726,9673,27793,5021,2103,2815,1297,1004,80,32,13407,7494,1626,34,0,7,191,234,1,5,42,491,22,37,41,135,119,30,102,11,124,15007,712,0,41,1164,4859,1,6,812,2848,252,195,152,813,453,137,1899,198,465,738,194,87.8,15.2,16742612,4721543,16589963,6220304,1766018,2419267,48031,0,0,5,94,1244,4,68,664,0,0,0,0,3,725,15124,8068,7056,451,286,165,9848,3769,6079,685,5096,9077,15,2,29850,1377,425,105,3,4,16,11,51,18,51,13
R16210,ïxéRåß,ìÏìvés,47937,22940,24997,47104,22630,24474,4979,2561,2418,24165,12266,11899,18753,8089,10664,10097,3810,6287,811,236,760,676,955,16483,16410,46479,8323,3740,4927,2402,2004,129,45,66864,15527,2904,53,0,2,362,420,9,24,54,740,47,38,89,319,216,83,169,25,254,23048,698,0,7,2625,8449,100,222,980,3246,444,135,301,1419,729,268,2240,225,960,1548,724,89.3,4.3,37983461,6755078,36324395,7881305,4622230,5531988,196567,0,0,9,176,2107,8,125,1209,0,0,0,0,3,887,25494,13588,11906,681,471,210,16371,6089,10282,1675,9322,14334,32,5,50437,1078,671,220,5,4,31,17,90,23,95,15
R16211,ïxéRåß,éÀêÖés,90742,44253,46489,88002,42779,45223,11269,5869,5400,51219,26166,25053,27743,11867,15876,13843,5368,8475,2374,540,1100,2027,2097,33812,33752,88713,19612,8758,8838,4352,3424,290,120,10944,9756,4089,26,9,4,494,433,6,13,170,1103,62,99,109,361,374,136,278,42,370,42321,428,147,31,3165,11919,321,257,4382,7996,510,402,476,2418,1613,1206,4085,497,2468,636,322,85.2,9.2,42723014,15555849,41165481,13037063,5041237,5147605,0,4,196,16,333,4763,6,177,2608,0,0,0,0,3,1268,46499,25166,21333,1500,948,552,28308,10467,17841,983,14094,30670,1,4,92942,1346,845,305,15,4,49,33,133,53,207,26
R16321,ïxéRåß,èMã¥ë∫,3132,1521,1611,3081,1494,1587,528,277,251,1971,985,986,631,257,374,371,131,240,51,25,31,167,98,1051,1049,3039,758,162,191,89,58,7,4,347,347,73,3,0,0,12,7,0,0,2,14,1,3,3,2,4,4,11,1,6,635,32,0,0,33,190,0,0,24,126,5,34,14,8,6,6,138,4,15,63,18,90.7,11.1,2058521,397717,1986839,493039,617811,199042,0,0,0,1,18,215,1,16,116,0,0,0,0,0,0,1745,939,806,36,24,12,807,272,535,51,600,1086,0,1,3147,0,11,2,0,0,1,2,1,2,1,1
R16322,ïxéRåß,è„ésí¨,19351,9255,10096,19133,9160,9973,1852,959,893,10280,5223,5057,7199,3058,4141,3785,1458,2327,217,60,280,309,448,7256,7235,18902,4336,1701,2365,1079,1063,35,19,23671,6652,831,4,0,4,105,87,0,4,19,217,14,16,29,66,91,34,70,6,65,7612,19,0,16,547,3115,0,32,512,1061,158,52,85,405,241,174,863,105,227,626,221,88.4,15.7,9777223,2778615,9503630,2974854,1487517,872983,9961,0,0,7,90,814,1,33,451,0,0,0,0,1,459,9845,5306,4539,393,251,142,6972,2582,4390,414,3683,5670,12,2,20228,1356,194,48,1,1,11,6,37,8,101,10
R16323,ïxéRåß,óßéRí¨,24792,12002,12790,24573,11911,12662,2780,1429,1351,13698,6977,6721,8273,3571,4702,4284,1645,2639,207,151,348,482,586,9047,9008,24407,5478,1969,2689,1307,1027,58,22,30729,16153,903,19,0,2,146,131,0,3,26,213,9,14,23,65,67,22,74,9,80,8524,276,0,4,776,3178,0,11,447,1304,82,71,69,634,237,162,946,39,288,903,285,87,12.4,12927765,3365542,12390897,3339003,1430715,1503126,22135,0,0,8,103,1207,1,42,670,0,0,0,0,1,459,13093,7126,5967,426,269,157,7808,2800,5008,735,4289,7829,13,1,25716,1156,185,37,2,1,13,8,17,8,35,7
R16342,ïxéRåß,ì¸ëPí¨,23839,11385,12454,23305,11144,12161,2342,1206,1136,12621,6458,6163,8780,3673,5107,4676,1731,2945,443,108,375,436,571,8699,8676,23175,4606,2211,2595,1179,1153,63,25,7125,6204,1043,29,7,2,158,98,1,1,20,252,14,22,23,89,118,28,81,20,80,9664,270,141,9,851,3726,3,1,299,1274,125,59,66,514,292,79,1236,187,532,912,140,87.9,13.9,12795979,3419532,12324982,3714091,1341093,2113397,0,1,0,6,94,990,2,51,590,0,0,0,0,1,487,12109,6556,5553,437,289,148,8386,3035,5351,713,4978,6379,11,1,24611,1154,225,75,1,2,15,7,23,9,24,8
R16343,ïxéRåß,í©ì˙í¨,11081,5232,5849,10950,5185,5765,903,470,433,5230,2690,2540,4938,2065,2873,2807,1057,1750,124,37,204,134,289,4353,4340,10786,2351,1153,1562,776,779,21,8,22630,7573,637,8,2,0,106,46,0,1,8,152,5,32,12,62,76,20,37,9,61,3802,77,12,0,501,834,0,2,112,675,41,47,31,344,230,36,490,55,315,329,202,94.5,12.8,9317695,1745838,8893045,1870006,843249,519345,79755,0,0,2,39,399,1,21,217,0,0,0,0,1,188,5389,2894,2495,191,130,61,4568,1717,2851,309,1897,3174,11,1,11876,1033,138,45,0,2,3,6,24,8,22,3
R17201,êŒêÏåß,ã‡ëÚés,463254,224549,238705,446412,215482,230930,56073,28609,27464,271778,136161,135617,121222,51449,69773,61301,23334,37967,4798,3400,4492,14469,14374,207520,207119,447663,106430,85258,41638,22229,21358,2012,626,46879,19239,26268,57,11,6,2327,1911,10,374,609,6928,572,1779,1283,3532,2066,954,1687,114,2048,251418,429,76,39,18396,23591,608,8729,14403,56300,8702,6521,7151,27239,10157,9456,32004,1407,26210,1719,944,89.9,5.9,180554930,83641768,177390519,65180050,22557289,23566647,196208,29,3252,56,1418,23760,29,815,12214,0,0,0,0,20,17131,222028,118377,103651,7663,4399,3264,128395,46706,81689,2710,45371,167087,62,8,452289,2544,4450,3145,71,37,412,225,1917,351,1479,121
R17202,êŒêÏåß,éµîˆés,50300,23970,26330,49257,23522,25735,4997,2593,2404,25395,12682,12713,19370,8321,11049,9968,3778,6190,643,239,792,943,1305,20328,20253,48051,10484,6583,5988,3168,2930,141,69,31829,11441,3324,21,5,3,327,311,3,17,73,883,59,117,89,483,317,85,211,45,275,25160,215,188,22,1801,3952,276,74,1211,4903,579,270,408,3178,1171,447,3884,448,2133,1586,1051,93.4,14,31520824,7911735,30626150,8782489,2521489,2607368,403227,0,0,10,170,2171,4,92,1266,0,0,0,0,5,1745,24887,13052,11835,924,597,327,17892,6797,11095,1262,6369,16879,0,1,52322,1936,675,340,4,6,40,30,185,37,116,21
R17203,êŒêÏåß,è¨èºés,106216,52182,54034,102830,50152,52678,13834,7080,6754,60584,31068,29516,30443,13162,17281,15912,6322,9590,2271,829,1143,2769,3076,41312,41217,103009,23684,12319,10000,5382,4263,434,149,37105,11205,5548,21,1,1,585,959,7,37,109,1329,72,211,235,655,489,163,315,43,316,50024,207,1,5,2915,15720,240,412,1953,8868,805,728,1605,4733,2148,1471,5683,651,1879,829,299,94.5,14.3,45435578,16662848,44592681,14897594,5618255,7675263,0,7,501,23,425,5678,10,229,2991,0,0,0,0,7,4430,54728,29848,24880,1878,1110,768,30168,10972,19196,1035,20468,32311,35,3,108460,2082,1022,570,14,10,71,45,209,65,214,34
R17204,êŒêÏåß,ó÷ìáés,24608,11714,12894,24360,11597,12763,1807,928,879,11351,6007,5344,11327,4696,6631,6335,2288,4047,173,87,494,565,906,10208,10172,22798,5198,3390,3482,2021,2154,46,20,42632,10044,1762,18,9,0,139,350,2,6,28,485,20,21,32,228,130,16,76,21,181,9412,177,225,0,1043,1837,37,26,335,1968,184,73,93,1011,357,287,1071,213,475,951,947,96.2,10.4,21423265,2514621,21079025,4689048,2844059,2232207,264089,0,0,10,106,794,4,55,466,0,0,0,0,3,1104,11232,6091,5141,315,207,108,10369,4046,6323,1152,2516,7197,19,3,26637,6716,447,165,2,1,25,12,38,18,41,12
R17205,êŒêÏåß,éÏèFés,12929,5933,6996,12838,5903,6935,926,446,480,5309,2697,2612,6673,2778,3895,3733,1325,2408,75,42,260,175,327,5517,5490,12606,2782,1691,2071,1240,1185,35,10,24720,6060,1014,13,2,0,133,105,3,5,19,293,14,12,25,104,94,17,34,23,118,5578,114,32,0,767,1245,35,13,160,1120,93,30,72,460,212,22,612,224,367,635,769,96,14,10474374,1501831,10284567,2254244,1268003,1242939,56014,1,0,7,62,321,2,28,195,2,30,75,38,1,333,5945,3203,2742,236,156,80,5764,2096,3668,613,1520,3796,10,1,14149,2651,258,69,0,1,11,5,25,6,15,8
R17206,êŒêÏåß,â¡âÍés,63220,29939,33281,62143,29453,32690,6715,3472,3243,33589,16915,16674,22681,9422,13259,11791,4392,7399,915,322,921,1264,1609,25261,25184,60912,13308,8088,6949,3498,4074,211,89,30587,9182,3666,15,3,1,315,825,0,9,42,847,40,132,64,504,327,65,247,26,204,29323,122,34,4,1481,9232,0,138,807,4963,376,375,177,4452,1480,186,3698,557,1241,934,173,92.6,8.5,32044077,9602109,30857538,11421773,3433025,3383085,0,1,31,18,269,2955,6,128,1622,0,0,0,0,4,907,31543,16544,14999,1579,936,643,19777,7126,12651,1102,11570,18652,22,2,66510,1968,671,399,6,4,47,26,124,33,107,28
R17207,êŒêÏåß,âHçÓés,20407,9669,10738,20262,9621,10641,1928,967,961,10189,5150,5039,8231,3507,4724,4395,1644,2751,145,100,352,445,569,8046,8023,19968,4520,2165,2641,1453,1241,71,24,8185,5269,1170,13,2,0,127,129,0,4,30,284,12,33,25,139,117,36,95,17,107,8699,97,12,0,709,2393,0,13,393,1589,186,110,96,686,416,202,1041,253,503,602,217,91.6,9.5,11345179,2802144,11244188,3141145,1342418,1051144,31532,0,0,6,90,846,2,37,454,0,0,0,0,3,941,9868,5307,4561,398,277,121,7859,2909,4950,587,3138,6104,11,1,21442,1104,238,111,2,1,19,15,36,19,37,10
R17209,êŒêÏåß,Ç©ÇŸÇ≠és,34889,16875,18014,34500,16640,17860,4696,2427,2269,19657,9830,9827,10314,4502,5812,5273,2076,3197,297,272,389,1082,919,12528,12497,33924,7642,2879,3276,1644,1252,129,36,6444,4007,1685,8,0,1,180,491,0,5,35,378,17,40,40,126,146,44,85,8,81,13944,58,0,2,874,5254,0,11,457,3036,175,93,388,943,640,232,1189,78,514,372,295,94.8,11.6,18077387,4213855,17406922,5229708,1848788,3249771,12400,0,0,6,132,1830,3,72,949,0,0,0,0,0,0,18055,9609,8446,555,349,206,10458,3907,6551,391,6188,11260,21,1,35549,453,320,113,1,2,21,8,43,16,46,11
R17210,êŒêÏåß,îíéRés,110408,53670,56738,108485,52493,55992,15154,7596,7558,63630,31948,31682,30899,13742,17157,14563,5880,8683,1402,769,1083,2779,2672,40958,40888,108685,26262,9421,10821,5700,3611,348,134,75493,19817,4757,73,2,4,626,682,3,42,179,1091,63,140,180,483,362,154,325,32,316,54992,976,2,30,3328,20255,86,988,5016,9143,572,485,960,3368,1299,923,3917,643,3001,995,499,96.8,10.7,51542339,19489673,50415561,16717512,5535630,6016591,2048,6,689,19,421,6195,10,243,3360,0,0,0,0,4,1174,58105,31492,26613,1986,1235,751,32695,12008,20687,1502,18941,37082,28,5,113564,2079,831,363,7,4,69,32,155,45,233,30
R17211,êŒêÏåß,î\î¸és,48523,24129,24394,47278,23328,23950,6811,3510,3301,28783,14897,13886,12692,5555,7137,6404,2568,3836,1134,345,462,1360,1447,18192,18158,47715,10913,4828,4225,2191,1529,174,80,8414,4850,2084,19,0,0,267,490,2,14,47,486,17,57,67,167,137,79,116,15,104,21678,135,0,0,1179,9632,18,245,899,3452,168,151,381,1141,618,981,1807,230,641,407,141,91.3,7.2,23628709,9015403,22860375,7625384,2669385,3465357,0,0,0,8,186,2925,3,103,1569,0,0,0,0,1,427,25301,13777,11524,811,491,320,13964,5419,8545,432,9996,14597,4,3,50206,745,366,143,5,3,28,11,75,15,78,15
R17212,êŒêÏåß,ñÏÅXésés,57238,29550,27688,55606,28658,26948,8322,4279,4043,35979,19327,16652,11203,4837,6366,5332,2041,3291,473,582,370,3433,3035,26200,26159,55610,12486,11772,3746,1942,1587,353,90,1356,1356,2383,3,0,0,231,115,0,19,52,685,37,209,85,322,260,69,167,10,119,24167,18,0,0,1544,1917,0,337,1181,7582,374,773,471,3229,1723,1180,2624,79,1135,145,127,97.1,6.8,17990282,8158270,17700547,7470883,2093095,2497892,0,2,184,5,180,3390,2,91,1452,0,0,0,0,1,814,28707,15805,12902,925,564,361,14304,5951,8353,304,7498,20203,5,1,52826,82,508,268,20,2,50,25,72,27,111,16
R17324,êŒêÏåß,êÏñkí¨,6135,3030,3105,6072,2986,3086,1057,566,491,3630,1818,1812,1448,646,802,734,286,448,63,46,59,107,106,1915,1913,6046,1319,250,411,220,130,11,4,1464,1464,259,3,0,2,45,69,0,0,11,43,4,6,5,13,17,13,15,1,12,3811,23,0,13,249,2128,0,0,214,751,14,31,62,86,51,19,102,5,63,188,65,85.7,9.9,3605674,1449440,3555253,936867,272580,486294,0,0,0,3,45,446,1,22,274,0,0,0,0,0,0,3189,1701,1488,88,46,42,1801,717,1084,141,1171,1873,1,1,6208,0,30,8,2,0,3,3,1,3,4,3
R17361,êŒêÏåß,í√î¶í¨,36957,18044,18913,36527,17789,18738,5057,2627,2430,22675,11315,11360,9040,3977,5063,4349,1704,2645,275,240,359,1060,1005,13399,13361,36179,8773,2855,3078,1551,1121,110,54,11059,5428,1065,8,0,0,168,134,0,6,14,226,9,37,22,98,107,51,101,8,76,9511,85,0,0,876,2697,0,10,151,2145,115,161,81,639,528,463,1067,171,322,526,272,91.7,9.7,14273230,4333514,14037921,4305611,1328371,1676382,95791,2,96,9,168,2130,2,72,1125,0,0,0,0,1,395,19426,10406,9020,625,351,274,10205,3767,6438,440,5442,13194,10,1,37590,528,183,80,5,2,21,10,35,13,36,11
R17365,êŒêÏåß,ì‡ìÂí¨,26574,12774,13800,25988,12461,13527,3305,1714,1591,15554,7619,7935,7081,3107,3974,3465,1405,2060,320,144,244,717,736,10802,10780,26056,6254,3446,2565,1347,1025,68,31,2033,1661,870,5,0,0,162,90,0,5,20,160,14,23,30,93,103,49,78,6,32,6900,55,0,0,546,554,0,6,159,1013,86,53,131,430,368,829,2510,29,131,55,86,91.4,8.5,10130407,2650640,10033479,3633804,1293303,1408574,0,1,81,7,122,1485,2,46,706,0,0,0,0,1,206,12947,6733,6214,439,269,170,7992,3062,4930,149,3409,9239,18,1,26583,92,131,83,2,2,15,9,437,26,111,8
R17384,êŒêÏåß,éuâÍí¨,18630,8878,9752,18467,8836,9631,1656,814,842,8605,4450,4155,8312,3571,4741,4327,1619,2708,163,64,321,246,444,7447,7427,18095,3932,2110,2576,1562,1224,43,12,24676,8520,1014,24,6,0,180,118,2,3,21,234,10,11,19,124,95,24,53,27,63,8383,249,157,0,1109,2278,538,2,251,1130,81,37,64,609,266,99,709,180,624,1037,644,94.9,8.8,14143886,4716977,13964300,3241801,1683345,1569124,574931,0,0,2,48,726,2,36,402,0,0,0,0,1,129,9188,5047,4141,262,172,90,7465,2801,4664,873,2884,5430,17,2,20156,620,215,74,1,2,10,8,18,7,17,6
R17386,êŒêÏåß,ïÛíBéuêÖí¨,12121,5718,6403,11944,5664,6280,1081,537,544,6236,3122,3114,4795,2053,2742,2453,922,1531,173,41,191,236,302,4428,4411,11744,2539,1004,1519,803,607,40,15,11152,4006,494,14,0,1,71,91,0,1,6,105,6,4,4,43,48,6,29,7,58,4087,146,0,11,465,1471,0,0,99,693,21,17,8,236,185,10,531,54,140,425,227,91,6.2,7958543,1996841,7574916,1887023,747919,952807,156533,0,0,5,69,483,1,25,294,0,0,0,0,1,123,6073,3265,2808,219,151,68,4616,1690,2926,427,2121,3484,1,1,13053,359,90,27,1,1,4,4,8,7,25,4
R17407,êŒêÏåß,íÜî\ìoí¨,16540,7977,8563,16361,7925,8436,1968,1030,938,8418,4276,4142,6147,2665,3482,3208,1244,1964,179,95,271,257,326,6103,6093,16208,3596,1396,1980,1051,856,45,17,8945,3832,745,5,0,1,94,163,0,1,14,173,9,7,17,55,72,15,48,9,62,4664,30,0,6,305,1839,0,1,200,851,57,19,73,256,187,25,583,74,158,468,327,91.7,12.6,10388702,1723217,9824338,2782452,1576794,950640,82712,1,0,3,65,847,1,34,475,0,0,0,0,1,342,8186,4378,3808,267,183,84,5876,2257,3619,378,2663,4943,3,3,17904,179,157,50,1,0,5,6,7,9,10,6
R17461,êŒêÏåß,åäêÖí¨,7890,3793,4097,7781,3732,4049,555,311,244,3400,1827,1573,3872,1607,2265,2172,751,1421,80,30,179,140,222,3288,3267,7152,1670,1144,1134,642,676,17,7,18321,4834,580,11,0,0,54,36,0,3,15,164,6,17,17,67,51,15,41,9,74,3468,164,0,0,295,342,0,8,162,803,31,50,157,302,150,86,615,58,245,389,327,90.5,9.7,7204017,949611,6744588,1445885,600168,901427,50119,0,0,2,23,223,1,20,165,0,0,0,0,1,107,3441,1912,1529,152,108,44,3579,1359,2220,350,701,2382,4,1,8151,146,139,49,2,1,11,4,20,4,21,4
R17463,êŒêÏåß,î\ìoí¨,15687,7377,8310,15581,7302,8279,1154,598,556,6621,3459,3162,7910,3318,4592,4403,1573,2830,106,65,339,235,401,6458,6423,14890,3339,1932,2370,1380,1346,48,7,27327,6982,1082,22,19,2,151,88,0,3,21,294,17,27,20,113,100,21,65,15,104,5811,215,263,15,753,736,0,11,150,1160,208,69,81,488,240,47,949,107,319,785,629,91.6,9.3,20229298,1650774,19716988,2765298,2607704,1606656,259741,0,0,5,63,501,4,50,280,0,0,0,0,1,207,7284,3984,3300,296,222,74,6937,2564,4373,967,1546,4749,19,1,17060,3912,263,74,0,2,10,6,25,9,27,7
R18201,ïüà‰åß,ïüà‰és,262328,127867,134461,255176,124372,130804,33046,17092,15954,148658,75252,73406,75805,32656,43149,39768,15591,24177,3879,1908,2946,5988,6399,104470,104190,254396,54902,34464,23273,11959,11323,1165,376,53641,21732,15789,53,3,7,1525,1441,5,195,310,4305,394,697,757,1977,1333,413,1024,116,1234,149061,694,49,32,11445,20796,396,3411,7119,34043,5552,2900,4136,13787,6418,4626,20340,1431,11886,3405,1454,93.1,10.3,103081314,45284461,100612814,42679850,10795876,8980722,51619,23,483,52,946,13484,28,603,7180,1,38,397,316,13,10770,134244,71774,62470,3947,2405,1542,74708,27759,46949,2504,33779,93861,56,6,263311,1157,2974,1742,45,23,257,136,979,201,677,87
R18202,ïüà‰åß,ì÷âÍés,64264,31785,32479,62655,31094,31561,8110,4160,3950,36222,18717,17505,18473,8056,10417,9260,3558,5702,734,452,763,1669,1984,27849,27769,62950,15514,9863,6523,3485,3398,272,115,25141,5307,3335,4,0,0,463,170,9,24,92,875,56,107,136,569,275,70,201,17,267,31828,77,0,0,3911,3953,524,216,2182,6007,639,538,1765,3423,1224,509,3682,381,2797,502,473,93.8,6.4,33916408,13444336,32048848,10207461,3802319,3607761,0,4,179,15,242,3496,7,143,1806,0,0,0,0,4,1804,32012,18072,13940,1035,634,401,19278,6738,12540,490,8813,22186,9,1,65599,4427,671,433,6,3,47,23,126,35,130,22
R18204,ïüà‰åß,è¨ïlés,28991,14317,14674,27905,13830,14075,3479,1799,1680,15326,8067,7259,9278,3964,5314,5009,1834,3175,278,224,371,685,762,12082,12056,28198,6116,4307,2922,1532,1530,102,33,23311,4228,1765,12,1,0,190,167,2,10,19,489,34,67,68,244,167,46,81,21,147,12822,179,6,0,983,2084,34,59,297,3144,348,220,748,1406,598,218,1336,306,856,610,477,98.4,11.8,16721996,3691580,16160553,4471404,2290430,1209602,0,1,82,9,135,1477,2,64,749,0,0,0,0,2,1265,14193,7945,6248,342,218,124,8487,3053,5434,567,3786,9494,13,2,29257,1655,367,156,7,2,19,8,68,15,53,12
R18205,ïüà‰åß,ëÂñÏés,31286,14997,16289,30786,14838,15948,3346,1688,1658,16078,8148,7930,11680,5033,6647,6206,2302,3904,469,190,457,392,695,10868,10689,30081,5443,2465,3089,1583,1280,86,45,87243,12998,1837,34,3,1,283,207,4,3,18,416,23,26,50,230,173,36,151,17,162,13996,655,16,1,1695,2742,157,11,215,2223,266,642,273,848,605,113,2194,197,1143,1294,364,98.6,8.4,18932875,3914392,18044077,5494516,2343493,1409027,126166,7,28,10,124,1391,5,83,813,0,0,0,0,2,803,16964,9062,7902,422,269,153,9907,3602,6305,1250,5502,9929,9,1,33058,5098,357,185,6,4,23,11,29,17,31,13
R18206,ïüà‰åß,èüéRés,22150,10581,11569,21856,10506,11350,2468,1272,1196,11304,5624,5680,8275,3591,4684,4339,1612,2727,277,121,341,337,457,7524,7485,21277,3813,1752,2207,1055,1002,64,21,25388,5284,1212,18,0,0,167,172,2,6,16,285,17,14,32,151,128,30,75,13,86,9260,323,0,0,814,2909,15,43,345,1379,118,31,97,645,317,149,1671,133,271,850,367,92.7,8.5,12427406,2819324,12122753,3752387,1568639,1211759,0,1,20,10,112,1063,4,67,594,0,0,0,0,1,311,11491,5984,5507,304,221,83,7295,2765,4530,599,3818,6654,10,1,23032,2923,247,111,2,1,13,8,43,13,44,11
R18207,ïüà‰åß,éIç]és,68302,33323,34979,67087,32737,34350,9599,4894,4705,39408,19913,19495,18757,8187,10570,9552,3855,5697,787,538,743,1767,1652,23915,23870,66548,13809,5575,5534,2594,2061,262,96,8459,5316,3520,15,0,0,265,1056,0,17,48,797,51,74,89,338,296,85,195,24,170,29663,177,0,0,1510,10659,0,265,677,5638,650,243,397,2542,1069,490,3700,557,1089,716,332,88.9,7.1,26644702,9367226,25854513,9986195,2589093,2572454,4064,4,124,12,260,4098,3,140,2077,0,0,0,0,2,883,35021,18633,16388,910,573,337,19000,7186,11814,531,13675,19992,10,1,69299,4103,571,281,5,6,40,23,110,35,95,22
R18208,ïüà‰åß,Ç†ÇÌÇÁés,27524,13067,14457,26977,12827,14150,2984,1509,1475,14873,7425,7448,9349,3959,5390,4725,1730,2995,466,159,381,587,735,9933,9907,26635,4936,2741,2597,1270,1223,91,33,11698,7043,1282,24,0,1,142,166,0,2,32,291,15,19,33,202,127,32,81,13,102,13756,285,0,4,686,4684,0,10,1199,1655,143,37,116,1686,564,205,1484,128,870,689,267,90.1,7,15268626,4746079,14721281,4511236,1839051,1516221,10757,0,0,10,110,1239,2,60,665,0,0,0,0,1,637,14287,7536,6751,529,347,182,8433,2994,5439,847,4651,8620,9,2,28028,1882,249,145,1,3,15,9,39,16,52,12
R18209,ïüà‰åß,âzëOés,80611,39657,40954,75526,37034,38492,10151,5288,4863,45994,23525,22469,23740,10381,13359,12380,4895,7485,4649,567,951,1592,1904,29634,29578,79045,15898,8129,6841,3452,2882,345,98,23070,8869,4369,29,1,1,486,707,5,16,76,1142,66,123,130,425,374,116,262,34,376,42447,371,13,12,2574,17247,193,120,1567,7217,684,483,728,2415,1276,748,4288,552,1959,1773,776,92,11.6,39456462,13815985,38331683,11847367,3256254,3277237,64090,11,265,17,296,4190,8,184,2269,0,0,0,0,5,2337,42876,23174,19702,1216,762,454,22881,8432,14449,1043,18778,21976,18,2,82080,5005,830,368,13,6,46,31,97,38,115,24
